scenario,mode,runs,throughput_min,throughput_mean,throughput_max,throughput_std,duration_min,duration_mean,duration_max,duration_std
A,rudp,10,0.532163,0.5428718,0.556343,0.007024193252213655,15.078114,15.4545964,15.763239,0.1988931259597585
A,tcp,10,16.288492,17.2083181,18.575382,0.752777772558772,0.451598,0.4882945,0.515002,0.020853814488534753
B,rudp,10,0.041637,0.0481715,0.0521,0.0033758179008945375,161.008235,174.9447528,201.469576,12.792388371532297
B,tcp,10,0.962738,1.1502404,1.448145,0.1458206328848333,5.792659,7.3932286000000005,8.713278,0.8871426230860767
C,rudp,10,0.021697,0.024118300000000002,0.025939,0.0013125697484112763,323.392998,348.7583998,386.625282,19.403486233006888
C,tcp,10,0.290384,0.3481379,0.392836,0.03449787970441083,21.353944,24.319428,28.888019,2.520420590742127
