scenario,mode,runs,throughput_min,throughput_mean,throughput_max,throughput_std
A,rudp,10,0.532163,0.5428718,0.556343,0.007024193252213655
A,tcp,10,16.288492,17.2083181,18.575382,0.752777772558772
B,rudp,10,0.041637,0.0481715,0.0521,0.0033758179008945375
B,tcp,10,0.962738,1.1502404,1.448145,0.1458206328848333
C,rudp,10,0.021697,0.024118300000000002,0.025939,0.0013125697484112763
C,tcp,10,0.290384,0.3481379,0.392836,0.03449787970441083
